Central Government Debt (Percent of GDP),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Slovenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,16.20662105,15.82395108,16.52124524,19.94854671,20.3052142,20.96536677,21.63889354,22.42957162,24.24852115,25.15695645,24.28872584,24.16252901,23.99328924,23.36004017,21.08560024,18.9359618,30.57075562,32.68221893,40.89954262,46.44049332,60.33706685,69.12624687,70.21190142,67.07961832,66.81900803,63.60785911,58.7871028,72.94957847,68.62275703,66.35120299,63.12824248
Solomon Islands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.63259091,8.04007649,10.3990996,11.30418628,14.82392882,19.62926998,23.71093008,39.57868895,54.20133832,72.08122649,69.52451778,70.340015,61.10923729,63.98885155,52.59509653,49.734267,40.77404394,36.1818766,32.49475416,30.58921373,35.81010094,35.28583372,39.49429856,51.19784222,60.41062385,61.32732323,58.21132259,44.6739659,42.30477297,33.0191519,28.92629685,18.86478579,22.9476815,18.3440543,13.26555669,11.56902979,10.14315693,7.876089715,7.53541753,8.770408939,7.947610481,7.819448598,11.45197047,16.11343784,16.03724646,20.89831466
South Africa,41.3760705,40.24268175,38.81177566,37.6403403,36.91406266,36.16816512,35.13000263,34.93681946,39.28712356,38.12444342,35.59436426,34.78867145,34.91771066,33.42518037,31.51711365,31.72367326,33.09982022,32.22736605,35.61428171,34.91233463,33.55341886,33.8004111,36.25376456,34.12491592,30.36225062,33.06489534,35.1316067,36.47101442,36.80516824,34.41857488,28.69599472,26.57976131,27.44637103,27.71389564,27.55919284,26.86012098,27.69093185,28.21375355,28.39860763,28.62578787,27.9706891,30.68787445,33.06828316,36.71625841,43.53833848,43.66295768,43.19852836,42.80063444,42.72353095,40.72518878,37.92902734,38.0451498,31.80066717,31.51411132,30.73346998,29.63712575,28.03011673,24.32598627,24.04482103,26.99463788,31.18536281,34.74204001,37.40787941,40.35590368,43.2533849,45.19546606,47.1340493,48.58820789,51.53626853,56.10133103,68.92707936,68.67175733,70.83246501,73.36282938
"South Sudan, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.905728165,17.58698602,38.14109486,57.24317047,125.5805834,117.5923885,69.17689434,42.83251665,49.2838594,52.21770158,39.92246947,54.81412729
Spain,46.10771726,39.86289651,38.80769637,40.2002615,37.84559025,38.77649078,35.20297869,33.96708438,29.94146776,29.31478338,29.95350479,27.41200527,25.3930284,22.08985098,18.73606585,17.55566454,17.06160064,16.92155147,17.46282467,17.89248811,17.93814647,16.86888995,16.55047799,15.43961451,13.06805141,11.55127901,7.987176093,8.536408331,9.734718362,9.686427749,9.731245912,10.37395817,11.55478613,12.96551939,17.6905352,30.31304044,35.14805098,36.16078349,36.59304307,32.98542046,34.39645143,35.90077999,36.0254007,39.30857497,49.03023377,51.45705984,54.98659343,53.85531333,52.22500581,50.88901293,48.59354852,45.0061527,42.90228296,39.94977726,38.62286241,35.77872707,32.51259336,29.64737587,33.24436681,45.60544569,51.38261914,58.64014635,77.49620601,87.96003241,91.69509339,91.16712117,90.52786562,90.30346101,89.94090338,87.9767116,107.828132,104.7326559,100.9291016,98.09838845
Sri Lanka,no data,9.652076046,14.28318563,16.42886785,14.73811047,12.59463888,14.91890309,17.21016007,18.19742234,21.14075635,24.75414457,28.78049359,32.27395089,29.25783775,29.9701933,32.24150492,34.96947212,36.40298626,38.84010484,36.71979809,34.18258357,37.1983288,38.13651538,37.04040197,34.50782559,36.33213135,42.71200082,57.60563341,60.13724018,56.23175156,60.73434011,62.19979273,66.32397715,66.17746411,56.26178924,66.47548906,71.86422118,79.53742676,82.56858139,88.86120768,78.93764682,80.49310506,77.9418625,79.17129966,77.89676363,77.80675927,76.22737494,70.14662366,74.24288515,77.69529819,79.20229448,84.36403969,96.30138676,86.45014996,86.49898913,76.5893819,74.28952143,71.84873866,68.78242181,72.75010812,68.73076363,69.42803729,67.50391305,69.45692766,69.56052243,76.33378993,75.00026863,72.26027871,83.58494313,82.59402771,96.88106669,102.6686285,115.939569,no data
Sudan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,495.200506,285.894968,386.4743135,239.0213986,220.8767077,167.6710061,179.6649665,160.4879779,143.2484203,125.5874711,121.7197493,117.3531469,97.80407084,75.47738646,63.70628969,53.69193747,55.75640121,70.99494624,74.56790681,78.11317292,117.6713326,105.7524575,84.42568924,93.1959652,109.9295452,149.5392475,209.8089862,216.5008479,278.302535,189.6033204,186.7645103,252.2246569
Suriname,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25.30758578,28.02115135,26.11827493,25.05314906,4.635200391,4.65857376,2.878533279,no data,no data,no data,no data,no data,no data,33.83546975,46.97153146,66.82425328,no data,no data,no data,72.88114634,75.70862785,64.38694862,51.05228417,30.49749891,16.25836392,11.76999035,16.78077478,21.64393644,32.30259661,48.43808074,37.19843485,37.40840782,31.49310064,29.35385294,27.10746438,22.53626229,16.41849508,14.77352751,14.64817334,17.31695326,18.73756519,20.09556485,27.90183395,25.20787124,41.17538286,75.39468109,73.02881662,68.62747327,84.02696949,146.4364159,115.8240667,116.9390327,90.3049821
Sweden,35.90514957,29.86599841,27.26521434,27.03961445,27.54260221,27.36650541,26.72252434,27.10806309,28.17032255,27.68749488,27.33889799,24.72734255,21.81370669,19.70553287,17.75767497,16.03547809,15.0777718,15.20512668,16.70772423,16.62358953,17.11153965,17.07316136,17.51236872,18.27572038,19.22511714,21.88278328,21.17636445,23.72423506,28.49352563,33.94190166,38.66670933,45.55471991,53.08824647,57.77462649,59.70333835,61.13559149,59.17734081,53.92766572,48.35127376,42.95328398,40.21149809,42.09561641,53.3989534,68.31172263,72.80328578,75.41086432,79.11148549,80.55375234,79.73881802,74.71850223,66.56808481,59.0759151,56.37080809,54.78683406,53.36856767,53.46477499,48.42808396,42.84285834,40.89350936,44.39939698,40.93554896,39.73980024,40.47243371,43.09876524,45.74564271,44.45817011,42.86042386,41.33490044,40.02051651,36.51267551,42.10447554,38.82649195,36.7520264,32.21002047
Switzerland,38.58013348,35.33294444,33.10170891,31.66436011,29.97009541,27.18351697,24.81343705,21.42751388,19.34663292,17.86179142,15.44865913,13.25428109,11.4183749,10.21780632,8.845419565,7.810176215,7.186953614,6.789744205,6.567172043,6.331300145,5.729276602,5.525784134,5.147911316,4.849303324,5.588316448,7.323587113,12.58287984,12.90657576,13.15954861,13.72640215,12.81951825,12.12835014,11.58218757,11.37531979,no data,no data,13.68323767,13.08797543,12.53104566,11.26910708,10.98230834,11.7918272,14.05579506,16.55003501,17.72789892,19.38036219,20.63324963,22.26207207,24.32724627,22.48692699,22.15645441,21.69242859,24.93674449,24.93985148,24.81546108,24.5931791,21.75345685,19.50838417,18.71286742,17.57687185,16.67876132,16.39401005,16.37799719,16.01302912,15.40039109,14.70612459,13.70933928,14.1767804,12.81897018,12.27017899,13.85528645,13.5320261,14.01633561,14.71034798
Syria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,49.96046105,52.07736305,49.96103134,40.52824325,37.97809782,36.31959461,46.86788915,53.07801297,60.02500407,54.84085194,60.44369079,60.87967031,84.58410317,101.2157932,116.4696762,138.0478914,127.9474062,113.0797571,138.6245654,203.8451683,189.7565944,182.4246293,173.6214342,171.9394722,162.9812222,152.6423337,141.4788716,147.6234039,151.2253563,147.697721,152.0944453,144.4899612,132.4270934,133.37035,113.0472106,50.71028784,44.97726846,42.67188358,37.31915911,31.21209538,30.02441131,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
São Tomé and Príncipe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.403994118,18.60470496,22.22129463,34.23459945,34.97846975,45.53453922,56.5335623,68.39409011,74.24291155,65.69332244,77.38495472,101.0729598,114.2356948,110.5546217,138.7699702,176.4737488,143.6055498,152.1029419,228.8804214,677.1803097,495.9486414,460.1252089,526.1829084,485.1158145,418.3802514,366.5124168,329.3655607,354.4518798,334.1722592,283.180753,110.1395535,60.67257085,70.31486619,82.99244116,86.01775329,86.31795977,77.14209448,67.42670769,84.31825329,81.68925128,74.7257297,71.4929776,76.3865599,70.75236517,60.07968843,55.86052694,50.65807291
Taiwan Province of China,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.67930468,3.857910391,4.737004472,4.496022607,5.318413501,10.10488368,12.87969621,13.49595156,14.90812822,15.25141929,15.87762599,14.62046476,13.39029628,23.7258399,27.26819863,26.8030087,28.6042906,28.99336949,29.49001282,28.81381533,27.8226511,28.80694888,31.93836113,32.26417986,33.30924168,34.04013486,33.70033832,32.44943258,31.0547356,30.41430641,29.76658906,29.24411193,28.17471407,27.7996582,26.35455441,26.11143737,25.70073586
Thailand,6.550694378,6.892030257,8.155958528,12.83060701,16.5199872,13.29703568,12.74031575,12.57231967,14.98588233,15.24686198,14.2608162,12.87816794,13.41135775,12.58435016,13.32921924,14.81861024,14.39860575,15.03156392,15.53392638,17.69690186,18.53465612,21.54657101,26.77076391,21.16879673,16.32289967,15.76189902,21.98228077,22.39065215,22.76775288,23.6930114,22.14754516,24.36981364,27.10514684,28.92041647,30.64890877,36.76120522,40.14373492,38.77244441,30.33256985,23.72061853,18.44775385,13.36556734,10.87899516,8.186243537,5.693219737,4.610094712,3.673497457,4.641520409,10.66985739,20.00577892,21.96458651,24.57833404,30.07035627,27.04601837,24.3963998,24.39220105,23.26111724,22.60400145,21.99186035,26.79589689,27.77926194,27.31535364,28.45789855,29.63239281,29.89091747,32.0900985,30.55733202,32.45882556,33.90484472,33.9950846,45.04697161,52.72899732,53.53042974,54.27483703
Timor-Leste,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.001867027,0.455708525,1.524535298,2.942100029,4.676361618,6.659834238,9.264572284,11.47250202,13.79933056,15.17162167,15.15875959,14.12307127
Togo,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9.199685535,9.586413617,7.838611249,10.30202173,17.20179515,18.47239698,25.20602907,33.97933583,51.40850216,60.10235584,52.74370781,56.82094309,62.0880112,66.38928028,62.13849043,68.60254012,56.37262663,56.57870851,51.34090556,46.33992373,44.73314612,46.86870773,45.031683,58.29730565,78.96092896,64.8228499,60.39892344,54.38035958,62.81878729,59.90242266,66.49034248,68.48993905,54.83526696,49.97780999,48.70381737,63.08262855,67.74437028,70.50385977,67.30935,57.64893314,33.45420683,33.80890585,34.34165363,41.07102223,44.93025671,52.38223608,59.90939888,57.1055574,58.0239235,54.93339684,62.21109357,64.8633981,67.4075113,67.9600523
Tonga,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,40.1922,40.053,46.143,42.4323,40.2573,49.7617,42.2815,39.778,no data,no data,35.27245518,31.51601801,32.75917607,36.02955649,38.40243902,43.56161793,53.3967247,60.66236947,56.22087573,52.24847012,43.34879489,39.55002465,37.81587039,34.00523364,39.72686238,44.73220886,51.85343234,54.42937989,49.03808524,47.47648212,51.17606606,49.41458589,44.67904963,45.89982545,41.32127055,43.61985584,47.54703294,45.35086533,41.14878414
Trinidad and Tobago,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.35080833,13.60530193,14.27035489,13.94456579,no data,14.96798806,15.94762057,21.7013161,16.1867111,17.56937474,17.24325569,13.74115481,11.51423121,9.510620882,no data,15.84935514,13.6575631,5.962234923,8.302098559,7.454889754,10.62351785,15.61220537,16.38540752,35.89354035,45.5867169,48.98749491,51.13490421,47.70845326,49.47712617,49.15196075,58.78571465,52.5816955,50.13765002,46.98001285,46.1142425,42.77645847,42.15214981,38.9113807,36.6125712,37.01854063,30.15382447,24.15058587,19.79766857,16.88844202,16.22990974,13.47190787,20.68661864,20.13987876,28.46084915,23.61303825,21.5306835,23.30055682,26.89465811,35.30197303,39.49685084,40.31845315,45.66067967,62.72380971,57.76451574,48.36668006,57.11208405
Tunisia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,38.40714679,36.0109341,31.3180787,31.04173604,29.24694345,27.26605934,29.62517464,32.5886211,35.43582558,33.56140919,31.24951362,32.09540962,34.9601881,37.64645998,38.55264168,41.36793597,51.41548217,46.82577212,50.67368839,48.75559263,47.69808575,53.37844047,48.31654746,51.67943546,51.61840906,50.34279638,48.43088227,54.28228618,51.66102231,52.98315397,52.44253172,53.92242919,53.29862438,51.97773652,51.57753668,49.97661797,45.71513997,42.70438163,41.36274485,40.29948719,38.80337582,43.3359183,49.040423,45.62792637,50.73341076,52.40059848,58.90800889,67.09863966,72.90821845,67.29656793,77.70784536,79.72828668,82.93223345,82.35046924
Turkmenistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,84.86533504,107.915404,88.15201133,72.89517385,45.06804275,31.96348189,22.36679622,15.09167723,9.01197488,5.586657286,4.047044156,4.706499623,4.081368307,6.21466808,10.0188972,13.76180401,16.01371061,12.3043834,14.5445697,18.52017881,19.98036152,18.66250692,15.27173895,13.32312512,10.65275178,5.772001945,4.665729459
Tuvalu,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,37.39493407,37.48112746,32.38727107,19.75078137,20.55767856,21.05127775,19.09128715,19.26807831,17.78358209,16.38196984,14.36530862,11.4854924,12.04651575,11.85513763,11.52359793,12.08910995,11.12063959,9.358618104,7.533489282
"Türkiye, Republic of",11.62272056,no data,no data,no data,no data,no data,no data,no data,9.322270998,8.008960871,8.764419074,12.71229127,12.71899112,13.23178309,12.41802015,15.85516218,16.15066856,16.08672552,16.60509614,16.14985881,20.23794395,17.86565247,16.26553102,13.16162406,12.02194813,12.46383009,12.32826125,14.71676264,15.66360282,17.79420781,24.77953667,25.71833784,29.4455304,29.23178562,36.88200156,38.35308271,32.68600361,37.88743914,38.76011232,30.33580555,24.74714329,27.18754125,29.07949651,29.77795971,39.29353158,31.68278611,32.72243269,32.18448768,30.31216611,38.8491618,37.18318171,72.05998749,67.13739885,59.98537227,54.38285525,48.79476465,43.41802237,37.60916715,37.97831278,43.92498801,40.60635568,36.94638784,33.69636264,32.14786792,29.80766245,28.84997596,28.933361,27.96990131,28.37192279,30.78074444,35.90818228,37.86887183,26.88183597,25.63750682
Uganda,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.29478774,11.8332972,13.51825657,15.48848119,15.95786461,12.68135614,14.32745368,9.18695494,9.302887627,7.746584546,13.97462966,12.73448117,12.88328484,26.56506036,27.04925129,32.87429289,27.35133715,no data,no data,no data,no data,141.1539329,88.25782962,61.05513596,42.26950494,46.91909793,47.68252237,44.19485508,45.09312301,47.71754552,48.54464988,51.35231188,54.71096425,55.13935675,48.96601973,42.56278657,27.75801277,16.97557317,15.65383821,14.79281222,18.35494602,17.95944248,19.49138507,22.07978225,24.76785201,28.02164443,31.33293961,33.63964643,34.88577301,37.53870225,46.3346387,50.39132464,49.99454004,51.03001221
Ukraine,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,30.15,24.37,28.89,46.54,58.96,43.79,35.34,32.34,28.3,23.89,17.09,14.25560334,11.81514692,19.11625724,33.46053071,40.04589892,36.39431226,36.76345903,39.88326918,69.5995841,79.06203295,80.89986669,71.83916102,60.90335955,50.24338379,60.44333247,49.02095196,77.73928434,84.42412421
United Kingdom,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,37.75186967,37.28572367,36.2737552,44.86041548,39.07288846,38.45579484,36.77808978,33.4213247,37.79220048,39.3388872,39.729837,40.22743169,38.07904165,37.33527372,32.56982848,28.4889633,27.21732506,27.51457747,32.13180384,36.73730767,39.4470112,42.43495002,42.62021796,42.34811019,40.27357008,38.92593132,37.33184223,34.61450876,35.00187588,36.1763252,39.04896052,40.16081513,41.11796027,42.19457387,49.94503012,64.04879384,74.89314931,80.47426004,83.52975845,84.40832599,86.15758056,86.89911717,86.77224104,85.64515804,85.27550012,84.69023748,104.8135521,104.3702516,99.82170655,100.5270683
United States,78.19964498,68.20192929,66.34144852,64.60220631,64.95571462,59.52055782,55.37030444,52.24956571,53.65992726,50.90128696,48.84313086,48.71073032,46.68362548,45.10125461,43.0858597,40.28421085,37.59763807,37.44478962,35.81076786,32.9590588,32.58867456,32.44571854,31.06912724,28.57219198,27.51170258,31.08399325,32.21633487,32.12563339,31.20429503,29.79349719,30.59301969,30.32673584,34.47918536,37.39181761,39.20493356,42.89764923,46.37764009,47.56426549,47.95663072,47.99629538,50.07941306,53.55383335,55.79770947,57.38957943,56.69826066,56.35374194,55.72256097,53.09552261,50.06742379,46.85146932,41.38399856,40.66321581,42.12427373,44.67687634,45.47615959,45.612806,44.82746316,45.16841978,53.40629052,64.97058651,73.64727498,78.52816636,82.79117999,84.94861136,85.64163419,86.48770156,88.83493664,88.37883246,90.41917263,92.46621038,117.0550804,112.3150837,108.8682067,112.2567602
Uruguay,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.109062968,9.302559878,9.124040881,7.004232397,7.611993901,8.128427304,8.669779362,7.260662916,5.641273759,3.977759038,4.59082851,4.319533002,13.47598188,21.1635991,39.45912846,29.03345075,34.60423654,37.32977746,34.83242434,no data,26.18862957,20.39772944,22.22885793,19.97776684,19.31755015,18.4956938,18.2508215,18.75391055,19.37975031,21.63791386,27.06343381,35.51735039,83.97871196,86.20013959,69.44400747,62.44510389,57.09460449,48.61233502,47.91267147,41.39886181,36.81128583,36.5893998,35.5213467,35.64545596,36.36608921,43.75688871,43.17863946,43.46831183,46.09403249,48.51372094,58.03543425,56.01150487,52.53329433,54.46489481
Vanuatu,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.772973961,4.536626922,3.990814199,5.052038172,6.551564619,8.22373112,13.66194267,14.47137935,18.19079654,21.1595613,20.78570778,21.03595366,20.27383532,21.59912905,24.06159388,23.05817582,22.94319694,28.04586361,30.61948949,36.10835022,37.03586288,38.80623043,38.26381101,30.41222459,26.27375545,22.16165066,19.48126583,21.2129362,21.12430245,20.22324451,21.29888978,19.27971362,18.63039112,20.26370548,37.70863685,43.72604455,52.62915895,45.26138062,45.09595449,48.02411178,48.53662618,44.44625803,41.85828593
Venezuela,0.124302385,0.053821313,0.350500715,0.238416858,0.186248168,0.149228706,0.111764706,0.078419861,1.960624797,2.669040538,5.36241208,5.768360486,4.77424888,4.086046872,3.618800185,3.801664749,3.757506204,4.390168124,5.147110169,6.214469557,6.71929605,7.235003089,9.194933525,8.67634197,7.631380782,5.786826194,9.640260564,12.6710612,16.56691231,19.23098315,16.63509127,18.89364389,18.59346431,21.39206865,36.39613496,34.1026004,45.86709009,58.2781343,46.29413579,61.83196584,63.26196792,62.19109234,54.80570645,57.74698113,63.89144811,45.90440721,45.90407528,34.84832263,31.17980965,29.70031427,27.3786503,29.56229068,35.45674035,47.47632633,37.63302237,31.6618299,24.07,19.15,13.98,18.2,18.35,25.16,31.6,45.11,44.54,53.15,53.25,108.6,47.63,68.51,no data,no data,no data,no data
Vietnam,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,220.1267382,177.6166539,135.1462526,105.5150318,85.64587806,72.90722504,58.63972761,61.23554356,59.66575247,32.82610115,31.39759381,32.05429403,34.77903272,31.24813258,29.72134401,26.78075871,26.45436819,25.71630667,no data,32.46130034,30.87000347,31.40793168,34.15699322,36.98682186,39.77107072,42.08204151,41.1091641,39.48084603,37.59935732,39.01628958,38.68514061,no data,no data
West Bank and Gaza,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,20.02378048,22.1591029,20.86995932,20.65503201,21.0911632,23.99536717,19.25249979,23.71750492,22.97829409,23.96356276,22.71808657,26.28493425,29.80110153,30.23138981,33.95213644,37.07095266,31.02731514,31.78458423,33.14490516,34.46871002,47.08007373,50.17649723,47.1206275,49.69303356
Yemen,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,91.56543096,82.6850289,78.02214901,76.74738039,73.3497565,84.10759071,114.9049926,74.15653166,110.595231,96.05025159,60.84074503,60.56857804,57.82722756,56.82301164,52.06809444,43.8007105,40.84237166,40.40790584,36.42126603,49.84235784,42.37957253,45.72598481,47.57718671,48.43184261,48.94994435,57.73724955,76.5052297,83.78855064,86.89710245,91.47835146,86.99702643,75.91417618,65.83517736,81.20531754
Zambia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.100214018,2.04740797,4.319961915,6.405491695,2.557064532,8.253886224,10.77340976,13.31691744,15.48062106,14.10494357,14.9806389,14.36644208,18.52436287,17.07599072,15.903778,13.74019406,10.19655565,7.98157768,17.66806433,19.29720492,18.6093829,24.55149753,2.263347598,15.25699387,17.71667764,24.38207365,23.7258189,18.41275095,26.44971008,25.84002804,260.9641718,210.2425832,180.2436455,159.4577845,129.9141177,75.74756486,25.00552767,21.92127715,19.19181916,20.52195824,18.89788796,20.80812083,24.91953719,25.90872855,33.85676824,61.86889931,58.03461261,63.35791057,75.22945422,94.42570045,140.0009206,111.0466131,99.47637776,127.3138236
Zimbabwe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,14.65582232,14.2424968,15.38305338,15.70091449,15.63199856,27.91992004,27.10115255,23.55700143,19.2769392,16.42200916,14.64553125,13.50220923,15.73109987,17.14853953,22.81057253,24.73312033,23.85877705,22.6542345,25.13331995,15.89332846,20.49338511,27.31086901,28.46220141,30.94317381,25.01274168,24.1089292,24.64206796,28.06689363,37.36036108,40.53297719,42.47965226,42.18732224,33.13995547,29.91843849,27.53926862,26.62721851,26.41581531,25.50600037,30.76161071,43.84261961,no data,33.06205806,39.43777963,44.67061466,61.07809879,58.71025078,47.57815779,42.85798355,38.37911693,37.0480009,42.31242797,48.0291973,49.90833343,68.93458237,48.12491879,82.33732671,84.4659984,58.17186686,102.1395481,96.69876658
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©IMF, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
